hour_start,surface_start,surface_end,activations,deletion_exits,inactivity_exits,delete_actions,active_multiwriter_incidences,active_multiwriter_labels
2026-06-16T00:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T01:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T02:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T03:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T04:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T05:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T06:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-16T07:00:00+00:00,0,5,5,0,0,0,10,7
2026-06-16T08:00:00+00:00,5,10,5,0,0,0,28,18
2026-06-16T09:00:00+00:00,10,29,19,0,0,0,87,45
2026-06-16T10:00:00+00:00,29,40,11,0,0,0,140,58
2026-06-16T11:00:00+00:00,40,43,3,0,0,0,155,61
2026-06-16T12:00:00+00:00,43,49,6,0,0,0,175,67
2026-06-16T13:00:00+00:00,49,41,0,0,8,0,151,58
2026-06-16T14:00:00+00:00,41,34,1,0,8,0,131,49
2026-06-16T15:00:00+00:00,34,24,0,0,10,0,90,34
2026-06-16T16:00:00+00:00,24,15,0,0,9,0,47,23
2026-06-16T17:00:00+00:00,15,10,1,0,6,0,23,12
2026-06-16T18:00:00+00:00,10,25,22,0,7,0,87,75
2026-06-16T19:00:00+00:00,25,86,61,0,0,0,551,323
2026-06-16T20:00:00+00:00,86,126,41,0,1,0,784,428
2026-06-16T21:00:00+00:00,126,180,54,0,0,0,1072,508
2026-06-16T22:00:00+00:00,180,205,25,0,0,0,1226,538
2026-06-16T23:00:00+00:00,205,216,11,0,0,0,1292,548
2026-06-17T00:00:00+00:00,216,214,19,0,21,0,1260,516
2026-06-17T01:00:00+00:00,214,180,20,0,54,0,907,383
2026-06-17T02:00:00+00:00,180,161,27,0,46,0,786,334
2026-06-17T03:00:00+00:00,161,123,17,0,55,0,576,276
2026-06-17T04:00:00+00:00,123,104,9,0,28,0,457,230
2026-06-17T05:00:00+00:00,104,98,5,0,11,0,416,217
2026-06-17T06:00:00+00:00,98,92,7,0,13,0,394,209
2026-06-17T07:00:00+00:00,92,81,13,0,24,0,320,167
2026-06-17T08:00:00+00:00,81,62,4,0,23,0,216,127
2026-06-17T09:00:00+00:00,62,49,8,0,21,0,165,105
2026-06-17T10:00:00+00:00,49,45,0,0,4,0,146,95
2026-06-17T11:00:00+00:00,45,41,1,0,5,0,133,86
2026-06-17T12:00:00+00:00,41,31,2,0,12,0,108,77
2026-06-17T13:00:00+00:00,31,17,1,0,15,0,70,50
2026-06-17T14:00:00+00:00,17,10,0,0,7,0,45,31
2026-06-17T15:00:00+00:00,10,7,1,0,4,0,31,22
2026-06-17T16:00:00+00:00,7,20,14,0,1,0,68,50
2026-06-17T17:00:00+00:00,20,24,6,0,2,0,84,68
2026-06-17T18:00:00+00:00,24,26,2,0,0,0,95,75
2026-06-17T19:00:00+00:00,26,31,5,0,0,0,107,80
2026-06-17T20:00:00+00:00,31,33,3,0,1,0,114,84
2026-06-17T21:00:00+00:00,33,32,3,0,4,0,117,85
2026-06-17T22:00:00+00:00,32,21,0,0,11,0,79,52
2026-06-17T23:00:00+00:00,21,16,1,0,6,0,63,39
2026-06-18T00:00:00+00:00,16,13,0,0,3,0,54,32
2026-06-18T01:00:00+00:00,13,11,1,0,3,0,46,27
2026-06-18T02:00:00+00:00,11,10,0,0,1,0,38,24
2026-06-18T03:00:00+00:00,10,6,0,0,4,0,26,17
2026-06-18T04:00:00+00:00,6,5,0,0,1,0,21,16
2026-06-18T05:00:00+00:00,5,5,1,0,1,0,19,14
2026-06-18T06:00:00+00:00,5,6,2,0,1,0,17,12
2026-06-18T07:00:00+00:00,6,5,0,0,1,0,14,10
2026-06-18T08:00:00+00:00,5,5,1,0,1,0,13,10
2026-06-18T09:00:00+00:00,5,6,1,0,0,0,15,11
2026-06-18T10:00:00+00:00,6,4,0,0,2,0,12,12
2026-06-18T11:00:00+00:00,4,4,0,0,0,0,13,13
2026-06-18T12:00:00+00:00,4,3,0,0,1,0,9,9
2026-06-18T13:00:00+00:00,3,1,0,0,2,0,5,5
2026-06-18T14:00:00+00:00,1,2,1,0,0,0,8,8
2026-06-18T15:00:00+00:00,2,14,12,0,0,0,47,38
2026-06-18T16:00:00+00:00,14,37,23,0,0,0,149,89
2026-06-18T17:00:00+00:00,37,76,39,0,0,0,379,184
2026-06-18T18:00:00+00:00,76,129,69,16,0,25,744,371
2026-06-18T19:00:00+00:00,129,210,81,0,0,0,1444,570
2026-06-18T20:00:00+00:00,210,305,99,0,4,0,2142,727
2026-06-18T21:00:00+00:00,305,331,33,0,7,0,2304,757
2026-06-18T22:00:00+00:00,331,323,2,0,10,0,2239,728
2026-06-18T23:00:00+00:00,323,302,3,0,24,0,2087,672
2026-06-19T00:00:00+00:00,302,249,5,0,58,0,1642,517
2026-06-19T01:00:00+00:00,249,148,4,0,105,0,938,353
2026-06-19T02:00:00+00:00,148,48,1,0,101,0,275,153
2026-06-19T03:00:00+00:00,48,24,6,0,30,0,97,57
2026-06-19T04:00:00+00:00,24,24,3,0,3,0,96,57
2026-06-19T05:00:00+00:00,24,24,2,0,2,0,84,54
2026-06-19T06:00:00+00:00,24,18,1,0,7,0,54,37
2026-06-19T07:00:00+00:00,18,13,0,0,5,0,36,24
2026-06-19T08:00:00+00:00,13,14,2,0,1,0,40,26
2026-06-19T09:00:00+00:00,14,8,1,0,7,0,28,22
2026-06-19T10:00:00+00:00,8,7,1,0,2,0,30,23
2026-06-19T11:00:00+00:00,7,8,2,0,1,0,30,20
2026-06-19T12:00:00+00:00,8,17,9,0,0,0,53,36
2026-06-19T13:00:00+00:00,17,17,8,7,1,59,38,26
2026-06-19T14:00:00+00:00,17,18,3,0,2,24,46,31
2026-06-19T15:00:00+00:00,18,13,1,4,2,41,29,22
2026-06-19T16:00:00+00:00,13,13,2,1,1,38,29,22
2026-06-19T17:00:00+00:00,13,10,0,0,3,0,23,19
2026-06-19T18:00:00+00:00,10,5,2,0,7,0,13,11
2026-06-19T19:00:00+00:00,5,8,5,0,2,0,20,14
2026-06-19T20:00:00+00:00,8,15,7,0,0,0,43,25
2026-06-19T21:00:00+00:00,15,17,2,0,0,0,47,28
2026-06-19T22:00:00+00:00,17,13,1,3,2,8,39,23
2026-06-19T23:00:00+00:00,13,3,4,14,0,147,7,7
2026-06-20T00:00:00+00:00,3,4,7,5,1,75,13,12
2026-06-20T01:00:00+00:00,4,18,14,0,0,0,71,45
2026-06-20T02:00:00+00:00,18,25,7,0,0,0,116,69
2026-06-20T03:00:00+00:00,25,31,7,0,1,0,146,82
2026-06-20T04:00:00+00:00,31,33,2,0,0,0,157,87
2026-06-20T05:00:00+00:00,33,37,4,0,0,0,189,99
2026-06-20T06:00:00+00:00,37,42,8,0,3,0,204,104
2026-06-20T07:00:00+00:00,42,34,0,0,8,0,148,87
2026-06-20T08:00:00+00:00,34,27,2,0,9,0,110,66
2026-06-20T09:00:00+00:00,27,25,8,0,10,1,96,61
2026-06-20T10:00:00+00:00,25,31,6,0,0,0,113,69
2026-06-20T11:00:00+00:00,31,31,5,0,5,0,95,60
2026-06-20T12:00:00+00:00,31,21,1,0,11,0,65,44
2026-06-20T13:00:00+00:00,21,23,2,0,0,0,71,46
2026-06-20T14:00:00+00:00,23,23,3,0,3,0,66,41
2026-06-20T15:00:00+00:00,23,18,0,0,5,0,48,31
2026-06-20T16:00:00+00:00,18,12,0,0,6,0,31,20
2026-06-20T17:00:00+00:00,12,10,2,0,4,0,29,23
2026-06-20T18:00:00+00:00,10,8,1,0,3,0,22,19
2026-06-20T19:00:00+00:00,8,6,1,0,3,2,20,18
2026-06-20T20:00:00+00:00,6,5,0,0,1,0,17,15
2026-06-20T21:00:00+00:00,5,8,3,0,0,0,26,22
2026-06-20T22:00:00+00:00,8,8,0,0,0,0,25,21
2026-06-20T23:00:00+00:00,8,6,0,0,2,0,18,16
2026-06-21T00:00:00+00:00,6,5,0,0,1,0,15,13
2026-06-21T01:00:00+00:00,5,6,1,0,0,0,14,12
2026-06-21T02:00:00+00:00,6,7,2,0,1,0,19,15
2026-06-21T03:00:00+00:00,7,9,5,0,3,0,35,28
2026-06-21T04:00:00+00:00,9,9,0,0,0,0,35,28
2026-06-21T05:00:00+00:00,9,8,0,0,1,0,36,29
2026-06-21T06:00:00+00:00,8,12,4,0,0,0,52,35
2026-06-21T07:00:00+00:00,12,13,1,0,0,0,67,42
2026-06-21T08:00:00+00:00,13,21,11,0,3,0,100,57
2026-06-21T09:00:00+00:00,21,22,2,0,1,0,96,51
2026-06-21T10:00:00+00:00,22,26,4,0,0,0,115,63
2026-06-21T11:00:00+00:00,26,27,5,3,1,6,86,62
2026-06-21T12:00:00+00:00,27,24,3,1,5,2,78,53
2026-06-21T13:00:00+00:00,24,26,4,0,2,0,90,60
2026-06-21T14:00:00+00:00,26,22,2,0,6,0,78,55
2026-06-21T15:00:00+00:00,22,22,2,0,2,0,75,50
2026-06-21T16:00:00+00:00,22,18,0,0,4,0,65,43
2026-06-21T17:00:00+00:00,18,18,3,0,3,0,66,44
2026-06-21T18:00:00+00:00,18,21,5,0,2,0,75,54
2026-06-21T19:00:00+00:00,21,22,5,0,4,0,76,55
2026-06-21T20:00:00+00:00,22,23,4,0,3,0,83,58
2026-06-21T21:00:00+00:00,23,23,2,0,2,3,89,59
2026-06-21T22:00:00+00:00,23,23,0,0,0,0,100,66
2026-06-21T23:00:00+00:00,23,25,5,0,3,0,106,72
2026-06-22T00:00:00+00:00,25,25,5,0,5,0,107,75
2026-06-22T01:00:00+00:00,25,20,0,0,5,0,81,60
2026-06-22T02:00:00+00:00,20,51,36,0,5,0,214,145
2026-06-22T03:00:00+00:00,51,56,7,0,2,0,236,151
2026-06-22T04:00:00+00:00,56,55,0,0,1,0,223,139
2026-06-22T05:00:00+00:00,55,50,0,0,5,0,205,129
2026-06-22T06:00:00+00:00,50,44,1,0,7,0,201,128
2026-06-22T07:00:00+00:00,44,44,0,0,0,0,202,128
2026-06-22T08:00:00+00:00,44,35,24,0,33,0,188,126
2026-06-22T09:00:00+00:00,35,32,2,0,5,0,160,110
2026-06-22T10:00:00+00:00,32,32,0,0,0,0,160,110
2026-06-22T11:00:00+00:00,32,32,0,0,0,0,160,110
2026-06-22T12:00:00+00:00,32,32,0,0,0,0,135,97
2026-06-22T13:00:00+00:00,32,32,0,0,0,0,133,96
2026-06-22T14:00:00+00:00,32,0,0,0,32,0,0,0
2026-06-22T15:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T16:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T17:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T18:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T19:00:00+00:00,0,0,0,0,0,11,0,0
2026-06-22T20:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T21:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T22:00:00+00:00,0,0,0,0,0,0,0,0
2026-06-22T23:00:00+00:00,0,0,0,0,0,0,0,0
